"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 14 11:40:02 BDT 2022","Wed Dec 14 11:40:10 BDT 2022","7845","","Test Case 1: Register User","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:40:55 BDT 2022","Wed Dec 14 11:41:16 BDT 2022","21336","","Test Case 21: Add review on product","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:40:12 BDT 2022","Wed Dec 14 11:40:13 BDT 2022","731","","Test Case 1: Register User","","","","Enter name and email address",""
"passed","Wed Dec 14 11:38:33 BDT 2022","Wed Dec 14 11:38:35 BDT 2022","2238",""," Test Case 13: Verify Product quantity in Cart ","","","","Increase quantity to 4 ",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","6",""," Test Case 14: Place Order: Register while Checkout ","","","","Verify 'ACCOUNT DELETED!' and click 'Continue' button ",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","11","","Test Case 24: Download Invoice after purchase order","","","","Enter payment details: Name on Card, Card Number, CVC, Expiration date",""
"failed","Wed Dec 14 11:42:28 BDT 2022","Wed Dec 14 11:42:29 BDT 2022","1090","","Test Case 24: Download Invoice after purchase order","","","","Verify 'ACCOUNT CREATED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:40:10 BDT 2022","Wed Dec 14 11:40:11 BDT 2022","865","","Test Case 1: Register User","","",""," Verify that home page is visible successfully ",""
"passed","Wed Dec 14 11:43:03 BDT 2022","Wed Dec 14 11:43:04 BDT 2022","752","","Test Case 2: Login User with correct email and password","","","","Enter correct email address and password",""
"passed","Wed Dec 14 11:39:59 BDT 2022","Wed Dec 14 11:40:01 BDT 2022","2004","","Test Case 19: View & Cart Brand Products","","","","On left side bar, click on any other brand link",""
"failed","Wed Dec 14 11:44:00 BDT 2022","Wed Dec 14 11:44:03 BDT 2022","3125","","Test Case 4: Logout User","","","","Verify that 'Logged in as username' is visible",""
"passed","Wed Dec 14 11:38:48 BDT 2022","Wed Dec 14 11:38:49 BDT 2022","1754",""," Test Case 14: Place Order: Register while Checkout ","","","","Product Add products to cart",""
"passed","Wed Dec 14 11:38:49 BDT 2022","Wed Dec 14 11:38:49 BDT 2022","24",""," Test Case 14: Place Order: Register while Checkout ","","","","Verify that cart page is displayed ",""
"passed","Wed Dec 14 11:38:17 BDT 2022","Wed Dec 14 11:38:19 BDT 2022","2542",""," Test Case 12: Add Products in Cart ","","","","Hover over first product and click 'Add to cart' ",""
"failed","Wed Dec 14 11:40:22 BDT 2022","Wed Dec 14 11:40:23 BDT 2022","1079","","Test Case 1: Register User","","","","Click 'Continue' button ",""
"passed","Wed Dec 14 11:42:50 BDT 2022","Wed Dec 14 11:42:50 BDT 2022","14","","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","","","7. Verify that page is scrolled up and 'Full-Fledged practice website for Automation Engineers' text is visible on screen",""
"passed","Wed Dec 14 11:45:17 BDT 2022","Wed Dec 14 11:45:17 BDT 2022","37",""," Test Case 9: Search Product ","","","","Verify 'SEARCHED PRODUCTS' is visible ",""
"failed","Wed Dec 14 11:42:05 BDT 2022","Wed Dec 14 11:42:08 BDT 2022","2956","","Test Case 23: Verify address details in checkout page","","","","Fill all details in Signup and create account",""
"passed","Wed Dec 14 11:43:12 BDT 2022","Wed Dec 14 11:43:14 BDT 2022","2035","","Test Case 2: Login User with correct email and password","","","","Verify that 'Logged in as username' is visible",""
"passed","Wed Dec 14 11:43:32 BDT 2022","Wed Dec 14 11:43:33 BDT 2022","995","","Test Case 3: Login User with incorrect email and password","","","","Click 'login' button",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","6","","Test Case 16: Place Order: Login before Checkout","","",""," Click 'Delete Account' button",""
"passed","Wed Dec 14 11:44:56 BDT 2022","Wed Dec 14 11:44:57 BDT 2022","320",""," Test Case 8: Verify All Products and product detail page ","","","","Verify user is navigated to ALL PRODUCTS page successfully ",""
"passed","Wed Dec 14 11:38:31 BDT 2022","Wed Dec 14 11:38:33 BDT 2022","1837",""," Test Case 13: Verify Product quantity in Cart ","","","","Click 'View Product' for any product on home page",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","3",""," Test Case 15: Place Order: Register before Checkout ","","","","  Click 'Delete Account' button",""
"passed","Wed Dec 14 11:38:03 BDT 2022","Wed Dec 14 11:38:04 BDT 2022","892",""," Test Case 12: Add Products in Cart ","","","","Verify that home page is visible successfully ",""
"passed","Wed Dec 14 11:42:10 BDT 2022","Wed Dec 14 11:42:10 BDT 2022","9","","Test Case 23: Verify address details in checkout page","","","","Add products to cart",""
"passed","Wed Dec 14 11:42:10 BDT 2022","Wed Dec 14 11:42:10 BDT 2022","10","","Test Case 23: Verify address details in checkout page","","","","Verify that the delivery address is same address filled at the time registration of account",""
"broken","Wed Dec 14 11:44:20 BDT 2022","Wed Dec 14 11:44:20 BDT 2022","0","","cypress/e2e/TestCases/TestCaseFromSite/testCase6ContactUsForm.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/TestCases/TestCaseFromSite/testCase6ContactUsForm.cy.js",""
"passed","Wed Dec 14 11:43:51 BDT 2022","Wed Dec 14 11:43:51 BDT 2022","764","","Test Case 4: Logout User","","","","Enter correct email address and password",""
"passed","Wed Dec 14 11:43:49 BDT 2022","Wed Dec 14 11:43:51 BDT 2022","1112","","Test Case 4: Logout User","","","","Click on 'Signup / Login' button",""
"passed","Wed Dec 14 11:44:35 BDT 2022","Wed Dec 14 11:44:37 BDT 2022","1862",""," Test Case 7: Verify Test Cases Page ","","","","Click on 'Test Cases' button ",""
"passed","Wed Dec 14 11:39:40 BDT 2022","Wed Dec 14 11:39:40 BDT 2022","106","","Test Case 18: View Category Products","","",""," Click on 'Women' category",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","15","","Test Case 24: Download Invoice after purchase order","","","","Verify Address Details and Review Your Order",""
"passed","Wed Dec 14 11:39:42 BDT 2022","Wed Dec 14 11:39:49 BDT 2022","7275","","Test Case 19: View & Cart Brand Products","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","4",""," Test Case 14: Place Order: Register while Checkout ","","","","Verify Address Details and Review Your Order ",""
"passed","Wed Dec 14 11:42:50 BDT 2022","Wed Dec 14 11:42:50 BDT 2022","324","","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","","","TC - 3. Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:42:10 BDT 2022","Wed Dec 14 11:42:10 BDT 2022","21","","Test Case 23: Verify address details in checkout page","","","","Click 'Delete Account' button",""
"passed","Wed Dec 14 11:37:50 BDT 2022","Wed Dec 14 11:37:52 BDT 2022","1170",""," Test Case 11: Verify Subscription in Cart page ","","","","Click 'Cart' button",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","7",""," Test Case 15: Place Order: Register before Checkout ","","",""," Click Proceed To Checkout",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","28","","Test Case 24: Download Invoice after purchase order","","","","Click 'Cart' button",""
"passed","Wed Dec 14 11:44:05 BDT 2022","Wed Dec 14 11:44:15 BDT 2022","9510","","Test Case 5: Register User with existing email","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","4",""," Test Case 15: Place Order: Register before Checkout ","","","","Verify ' Logged in as username' at top",""
"passed","Wed Dec 14 11:44:16 BDT 2022","Wed Dec 14 11:44:17 BDT 2022","1930","","Test Case 5: Register User with existing email","","","","Click on 'Signup / Login' button It Should Be visible In this Page  ",""
"passed","Wed Dec 14 11:40:47 BDT 2022","Wed Dec 14 11:40:51 BDT 2022","4038","","Test Case 20: Search Products and Verify Cart After Login","","","","Add those products to cart",""
"passed","Wed Dec 14 11:40:12 BDT 2022","Wed Dec 14 11:40:12 BDT 2022","24","","Test Case 1: Register User","","","","Verify 'New User Signup!' is visible ",""
"passed","Wed Dec 14 11:42:23 BDT 2022","Wed Dec 14 11:42:24 BDT 2022","1178","","Test Case 24: Download Invoice after purchase order","","","","Click 'Signup / Login' button",""
"passed","Wed Dec 14 11:44:18 BDT 2022","Wed Dec 14 11:44:19 BDT 2022","1276","","Test Case 5: Register User with existing email","","","","Click 'Signup' button  ",""
"passed","Wed Dec 14 11:39:00 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","1565",""," Test Case 14: Place Order: Register while Checkout ","","","","Click 'Cart' button ",""
"passed","Wed Dec 14 11:38:49 BDT 2022","Wed Dec 14 11:38:50 BDT 2022","85",""," Test Case 14: Place Order: Register while Checkout ","","","","Click Proceed To Checkout ",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","5","","Test Case 16: Place Order: Login before Checkout","","","","Verify 'Logged in as username' at top",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","14","","Test Case 24: Download Invoice after purchase order","","","","Click 'Pay and Confirm Order' button",""
"passed","Wed Dec 14 11:44:04 BDT 2022","Wed Dec 14 11:44:04 BDT 2022","9","","Test Case 4: Logout User","","","","Verify that user is navigated to login page ",""
"failed","Wed Dec 14 11:40:19 BDT 2022","Wed Dec 14 11:40:20 BDT 2022","1065","","Test Case 1: Register User","","","","Fill details: First name, Last name, Company, Address, Address2, Country, State, City, Zipcode, Mobile Number ",""
"passed","Wed Dec 14 11:45:15 BDT 2022","Wed Dec 14 11:45:17 BDT 2022","2189",""," Test Case 9: Search Product ","","","","Enter product name in search input and click search button ",""
"passed","Wed Dec 14 11:38:51 BDT 2022","Wed Dec 14 11:38:58 BDT 2022","6569",""," Test Case 14: Place Order: Register while Checkout ","","","","Click 'login' button",""
"passed","Wed Dec 14 11:37:28 BDT 2022","Wed Dec 14 11:37:39 BDT 2022","10731",""," Test Case 10: Verify Subscription in home page ","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","5",""," Test Case 15: Place Order: Register before Checkout ","","",""," Verify 'ACCOUNT DELETED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:44:40 BDT 2022","Wed Dec 14 11:44:49 BDT 2022","8848",""," Test Case 8: Verify All Products and product detail page ","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:38:35 BDT 2022","Wed Dec 14 11:38:37 BDT 2022","2219",""," Test Case 13: Verify Product quantity in Cart ","","","","Click 'View Cart' button ",""
"passed","Wed Dec 14 11:42:41 BDT 2022","Wed Dec 14 11:42:41 BDT 2022","230","","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","","","Click on arrow at bottom right side to move upward",""
"passed","Wed Dec 14 11:42:50 BDT 2022","Wed Dec 14 11:42:50 BDT 2022","10","","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","","","6. Scroll up page to top",""
"passed","Wed Dec 14 11:42:22 BDT 2022","Wed Dec 14 11:42:23 BDT 2022","871","","Test Case 24: Download Invoice after purchase order","","","","Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","14","","Test Case 24: Download Invoice after purchase order","","","","Click 'Delete Account' button",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","11","","Test Case 24: Download Invoice after purchase order","","","","Click 'Download Invoice' button and verify invoice is downloaded successfully.",""
"passed","Wed Dec 14 11:39:01 BDT 2022","Wed Dec 14 11:39:01 BDT 2022","4",""," Test Case 14: Place Order: Register while Checkout ","","","","Click 'Delete Account' button ",""
"passed","Wed Dec 14 11:39:11 BDT 2022","Wed Dec 14 11:39:11 BDT 2022","4",""," Test Case 15: Place Order: Register before Checkout ","","",""," Enter description in comment text area and click 'Place Order'",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","4","","Test Case 16: Place Order: Login before Checkout","","",""," Verify 'ACCOUNT DELETED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:37:40 BDT 2022","Wed Dec 14 11:37:40 BDT 2022","18",""," Test Case 10: Verify Subscription in home page ","","","","Verify text 'SUBSCRIPTION' ",""
"passed","Wed Dec 14 11:41:39 BDT 2022","Wed Dec 14 11:41:44 BDT 2022","5059","","Test Case 22: Add to cart from Recommended items","","","","Verify 'RECOMMENDED ITEMS' are visible",""
"passed","Wed Dec 14 11:41:29 BDT 2022","Wed Dec 14 11:41:39 BDT 2022","10528","","Test Case 22: Add to cart from Recommended items","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:41:28 BDT 2022","Wed Dec 14 11:41:28 BDT 2022","92","","Test Case 21: Add review on product","","","","Click 'Submit' button",""
"passed","Wed Dec 14 11:44:58 BDT 2022","Wed Dec 14 11:44:58 BDT 2022","23",""," Test Case 8: Verify All Products and product detail page ","","","","Verify that detail detail is visible: product name, category, price, availability ",""
"passed","Wed Dec 14 11:43:36 BDT 2022","Wed Dec 14 11:43:49 BDT 2022","12190","","Test Case 4: Logout User","","","","Navigate to url 'http://automationexercis.com'",""
"passed","Wed Dec 14 11:42:41 BDT 2022","Wed Dec 14 11:42:41 BDT 2022","335","","Test Case 25: Verify Scroll Up using 'Arrow' button and Scroll Down functionality","","","","Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:41:27 BDT 2022","Wed Dec 14 11:41:28 BDT 2022","1001","","Test Case 21: Add review on product","","","","Enter name, email and review",""
"passed","Wed Dec 14 11:42:10 BDT 2022","Wed Dec 14 11:42:10 BDT 2022","13","","Test Case 23: Verify address details in checkout page","","","","Click 'Cart' button",""
"passed","Wed Dec 14 11:42:50 BDT 2022","Wed Dec 14 11:42:50 BDT 2022","34","","Test Case 26: Verify Scroll Up without 'Arrow' button and Scroll Down functionality","","","","5. Verify 'SUBSCRIPTION' is visible",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","5","","Test Case 16: Place Order: Login before Checkout","","","","Click 'Cart' button",""
"passed","Wed Dec 14 11:38:50 BDT 2022","Wed Dec 14 11:38:50 BDT 2022","28",""," Test Case 14: Place Order: Register while Checkout ","","",""," Verify 'Login to your account' is visible",""
"failed","Wed Dec 14 11:40:14 BDT 2022","Wed Dec 14 11:40:15 BDT 2022","1107","","Test Case 1: Register User","","","","Verify that 'ENTER ACCOUNT INFORMATION' is visible ",""
"failed","Wed Dec 14 11:40:21 BDT 2022","Wed Dec 14 11:40:22 BDT 2022","1094","","Test Case 1: Register User","","","","Verify that 'ACCOUNT CREATED!' is visible ",""
"passed","Wed Dec 14 11:39:49 BDT 2022","Wed Dec 14 11:39:56 BDT 2022","6731","","Test Case 19: View & Cart Brand Products","","","","Click on 'Products' button",""
"passed","Wed Dec 14 11:42:30 BDT 2022","Wed Dec 14 11:42:30 BDT 2022","21","","Test Case 24: Download Invoice after purchase order","","","","Verify success message 'Your order has been placed successfully!'",""
"passed","Wed Dec 14 11:44:50 BDT 2022","Wed Dec 14 11:44:56 BDT 2022","6130",""," Test Case 8: Verify All Products and product detail page ","","","","Click on 'Products' button ",""
"passed","Wed Dec 14 11:39:40 BDT 2022","Wed Dec 14 11:39:40 BDT 2022","137","","Test Case 18: View Category Products","","",""," Verify that categories are visible on left side bar",""
"passed","Wed Dec 14 11:44:21 BDT 2022","Wed Dec 14 11:44:34 BDT 2022","12629",""," Test Case 7: Verify Test Cases Page ","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:43:51 BDT 2022","Wed Dec 14 11:44:00 BDT 2022","8679","","Test Case 4: Logout User","","","","Click 'login' button",""
"passed","Wed Dec 14 11:38:21 BDT 2022","Wed Dec 14 11:38:21 BDT 2022","34",""," Test Case 12: Add Products in Cart ","","","","Verify both products are added to Cart ",""
"passed","Wed Dec 14 11:41:50 BDT 2022","Wed Dec 14 11:42:01 BDT 2022","11716","","Test Case 23: Verify address details in checkout page","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:40:38 BDT 2022","Wed Dec 14 11:40:45 BDT 2022","6782","","Test Case 20: Search Products and Verify Cart After Login","","","","Click on 'Products' button",""
"passed","Wed Dec 14 11:44:17 BDT 2022","Wed Dec 14 11:44:18 BDT 2022","721","","Test Case 5: Register User with existing email","","","","Enter name and already registered email address ",""
"passed","Wed Dec 14 11:43:32 BDT 2022","Wed Dec 14 11:43:32 BDT 2022","746","","Test Case 3: Login User with incorrect email and password","","","","Enter incorrect email address and password",""
"passed","Wed Dec 14 11:44:15 BDT 2022","Wed Dec 14 11:44:16 BDT 2022","859","","Test Case 5: Register User with existing email","","","","Verify that home page is visible successfully",""
"passed","Wed Dec 14 11:41:39 BDT 2022","Wed Dec 14 11:41:39 BDT 2022","34","","Test Case 22: Add to cart from Recommended items","","","","Scroll to bottom of page",""
"passed","Wed Dec 14 11:40:13 BDT 2022","Wed Dec 14 11:40:14 BDT 2022","1264","","Test Case 1: Register User","","","","Click 'Signup' button  ",""
"passed","Wed Dec 14 11:40:54 BDT 2022","Wed Dec 14 11:40:54 BDT 2022","22","","Test Case 20: Search Products and Verify Cart After Login","","","","Verify that those products are visible in cart after login as well",""
"passed","Wed Dec 14 11:40:45 BDT 2022","Wed Dec 14 11:40:45 BDT 2022","378","","Test Case 20: Search Products and Verify Cart After Login","","","","Verify user is navigated to ALL PRODUCTS page successfully",""
"passed","Wed Dec 14 11:44:57 BDT 2022","Wed Dec 14 11:44:57 BDT 2022","36",""," Test Case 8: Verify All Products and product detail page ","","","","The products list is visible ",""
"passed","Wed Dec 14 11:37:52 BDT 2022","Wed Dec 14 11:37:52 BDT 2022","328",""," Test Case 11: Verify Subscription in Cart page ","","","","Enter email address in input and click arrow button ",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","6","","Test Case 16: Place Order: Login before Checkout","","","","Fill email, password and click 'Login' button",""
"passed","Wed Dec 14 11:40:11 BDT 2022","Wed Dec 14 11:40:12 BDT 2022","1193","","Test Case 1: Register User","","","","Click on 'Signup / Login' button It Should Be visible In this Page  ",""
"failed","Wed Dec 14 11:42:24 BDT 2022","Wed Dec 14 11:42:27 BDT 2022","3553","","Test Case 24: Download Invoice after purchase order","","","","Fill all details in Signup and create account",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","4","","Test Case 16: Place Order: Login before Checkout","","","","Add products to cart",""
"passed","Wed Dec 14 11:42:10 BDT 2022","Wed Dec 14 11:42:10 BDT 2022","11","","Test Case 23: Verify address details in checkout page","","","","Verify 'ACCOUNT DELETED!' and click 'Continue' button",""
"passed","Wed Dec 14 11:38:22 BDT 2022","Wed Dec 14 11:38:30 BDT 2022","8125",""," Test Case 13: Verify Product quantity in Cart ","","","","Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:37:50 BDT 2022","Wed Dec 14 11:37:50 BDT 2022","890",""," Test Case 11: Verify Subscription in Cart page ","","","","Verify that home page is visible successfully ",""
"passed","Wed Dec 14 11:40:28 BDT 2022","Wed Dec 14 11:40:28 BDT 2022","20","","Test Case 1: Register User","","","","Click 'Delete Account' button ",""
"passed","Wed Dec 14 11:39:41 BDT 2022","Wed Dec 14 11:39:41 BDT 2022","5","","Test Case 18: View Category Products","","",""," Verify that user is navigated to that category page",""
"failed","Wed Dec 14 11:40:23 BDT 2022","Wed Dec 14 11:40:28 BDT 2022","5439","","Test Case 1: Register User","","","","Verify that 'Logged in as username' is visible ",""
"passed","Wed Dec 14 11:42:02 BDT 2022","Wed Dec 14 11:42:05 BDT 2022","2285","","Test Case 23: Verify address details in checkout page","","","","Click 'Signup / Login' button",""
"passed","Wed Dec 14 11:42:11 BDT 2022","Wed Dec 14 11:42:22 BDT 2022","10901","","Test Case 24: Download Invoice after purchase order","","","","TC - 2. Navigate to url 'http://automationexercise.com'",""
"passed","Wed Dec 14 11:41:44 BDT 2022","Wed Dec 14 11:41:45 BDT 2022","426","","Test Case 22: Add to cart from Recommended items","","","","Click on 'Add To Cart' on Recommended product",""
"passed","Wed Dec 14 11:45:15 BDT 2022","Wed Dec 14 11:45:15 BDT 2022","310",""," Test Case 9: Search Product ","","","","Verify user is navigated to ALL PRODUCTS page successfully ",""
"passed","Wed Dec 14 11:41:28 BDT 2022","Wed Dec 14 11:41:28 BDT 2022","8","","Test Case 21: Add review on product","","","","Verify success message 'Thank you for your review.'",""
"passed","Wed Dec 14 11:39:31 BDT 2022","Wed Dec 14 11:39:31 BDT 2022","24","","Test Case 17: Remove Products From Cart","","",""," Verify that cart page is displayed ",""
"passed","Wed Dec 14 11:39:20 BDT 2022","Wed Dec 14 11:39:20 BDT 2022","5","","Test Case 16: Place Order: Login before Checkout","","",""," Click 'Pay and Confirm Order' button",""
"passed","Wed Dec 14 11:40:01 BDT 2022","Wed Dec 14 11:40:01 BDT 2022","358","","Test Case 19: View & Cart Brand Products","","","","Verify that user is navigated to that brand page and can see products",""
